ID,Nom,Prenom,Age,Departement,Ville,Date_Embauche,Salaire,Prime,Teletravail,Performance_Score,Projet,Remise,Client_ID,Produit,Heures_Semaine,Feedback_Score,Type_Contrat,Manager,Categorie_Travail,Bonus_Annuel,Ventes_Mois01,Ventes_Mois02,Ventes_Mois03,Ventes_Mois04,Ventes_Mois05,Ventes_Mois06,Ventes_Mois07,Ventes_Mois08,Ventes_Mois09,Ventes_Mois10,Ventes_Mois11,Ventes_Mois12,CA,Salaire_Annuel,Salaire_Total,Ratio_CA_Salaire,Anciennete,Score_Pondere,Indice_Performance_Normalise,Ratio_Age_Anciennete,Categorie_Age,Performance_Level,Top_Performers,CLV,Score_Efficacite_20,Remise_Categorie,CA_Total_Produit
685,Carroll,Lawrence,46,Production,West Henryhaven,2021-08-14,6735,3174,Non,59,Projet B,0.16,4450,Produit Y,41,3,CDI,Brett Woods,Avancé,1830,1582,75746,26255,13740,19632,67483,54272,34770,5866,27941,21636,88603,367521.84,80820,85824,4.28,4,101.06,0.04,11.5,Senior 2,Medium,False,2131008.92,0.25,Avec Remise,1285481295.4
686,Vargas,Regina,61,RH,South Christopherchester,2014-08-21,2293,3223,Oui,55,Projet B,0.15,1641,Produit X,41,5,Freelance,Jamie Hutchinson DDS,Standard,4056,28101,1698,53147,75055,82905,29278,21266,51269,9449,57143,56995,20859,414090.25,27516,34795,11.9,11,720.0,0.25,5.55,Retraité / Consultant,Medium,False,1188606.73,1.98,Avec Remise,1275523122.61
687,Jones,Mark,56,RH,New Allen,2016-08-06,4741,2126,Oui,89,Projet A,0.02,2837,Produit Z,37,2,CDI,David Werner,Expert,7922,36340,49195,90199,15236,97225,85624,38592,93677,65154,95980,74284,8766,735266.56,56892,66940,10.98,9,879.82,0.17,6.22,Pré-retraire,Medium,False,1141363.84,4.77,Avec Remise,1286715697.35
688,Thompson,Christina,25,IT,Ramirezville,2009-09-13,9963,1434,Non,62,Projet A,0.29,3990,Produit Y,32,4,Freelance,Barry Parker Jr.,Avancé,6201,47324,74924,96473,59248,55395,45869,90877,56421,57721,72517,90578,70433,580623.8,119556,127191,4.56,16,452.85,0.11,1.56,Jeune professionnel,Medium,False,580623.8,2.24,Avec Remise,1285481295.4
689,Hoffman,Leslie,53,Marketing,South Robertmouth,2024-08-11,5334,2268,Non,97,Projet B,0.2,4846,Produit Z,43,3,Freelance,Cheryl Raymond,Standard,4866,65111,45163,30376,96823,82350,54362,63247,33994,44046,82734,45986,77784,577580.8,64008,71142,8.12,1,78.75,0.02,53.0,Expert,Medium,False,1635632.58,0.29,Avec Remise,1286715697.35
690,Kent,Kimberly,27,Finance,Adamfort,2019-10-09,8496,3807,Oui,75,Projet D,0.0,4181,Produit W,43,2,CDD,Mrs. Danielle Burgess,Expert,8444,97687,13953,97321,64121,7652,21715,47674,7344,77406,75066,45822,40078,595839.0,101952,114203,5.22,6,234.78,0.06,4.5,Jeune professionnel,Medium,False,3690118.38,0.89,Sans Remise,1292981428.48
691,Rodriguez,Chad,43,Finance,South Meredith,2019-02-04,11908,4138,Non,94,Projet B,0.28,2571,Produit X,44,1,CDD,Beth Hamilton,Expert,1563,8378,18808,55413,63855,16160,7287,84196,18657,10603,43704,36561,24078,279144.0,142896,148597,1.88,6,105.95,0.06,7.17,Senior 1,Medium,False,875585.35,0.18,Avec Remise,1275523122.61
692,Baird,James,38,Marketing,Bassland,2019-06-20,5076,1895,Non,81,Projet D,0.07,2119,Produit X,33,1,Freelance,Rachel Norton,Expert,1893,11232,59282,10302,78517,21097,77335,64469,88528,61956,39892,66268,24119,560787.21,60912,64700,8.67,6,421.24,0.11,6.33,Expérimenté,Medium,False,2059078.34,1.95,Avec Remise,1275523122.61
693,Ball,Joseph,44,Production,North Robert,2010-02-03,10087,3732,Oui,65,Projet B,0.16,1655,Produit X,30,4,CDI,Thomas Oconnor,Expert,1556,45713,98051,86561,10221,9530,87739,14434,29600,54860,17558,84054,32740,479691.24,121044,126332,3.8,15,370.21,0.11,2.93,Senior 1,Medium,False,1393800.11,1.61,Avec Remise,1275523122.61
694,Sexton,Ryan,24,Finance,Larsonberg,2015-03-11,7296,963,Oui,59,Projet B,0.18,4731,Produit Y,34,3,CDI,Nichole Franklin,Avancé,5484,31322,63605,35555,16890,59720,65153,79490,27063,21671,33535,69348,159,412879.02,87552,93999,4.39,10,259.15,0.09,2.4,Jeune employé,Medium,False,2569066.26,0.86,Avec Remise,1285481295.4
695,Todd,Meredith,61,IT,Wallaceside,2005-12-25,5948,546,Non,84,Projet B,0.01,4123,Produit Z,40,5,CDD,Robert Gonzalez,Expert,298,78458,66059,85477,39547,8597,56843,8108,41276,42119,4573,78179,23616,527523.48,71376,72220,7.3,20,1227.14,0.34,3.05,Retraité / Consultant,High,True,2639519.56,4.41,Avec Remise,1286715697.35
696,Miller,Karen,43,RH,Caseyborough,2024-03-26,8809,1217,Oui,55,Projet C,0.27,3367,Produit Y,35,3,Freelance,Andrew Sloan,Expert,1380,57983,230,21475,39510,7560,6839,57070,16534,2621,29689,45070,38766,236043.31,105708,108305,2.18,1,11.99,0.01,43.0,Senior 1,Low,False,789734.8,0.02,Avec Remise,1285481295.4
697,Garcia,Alexandra,42,Marketing,New Julia,2006-05-25,9491,2508,Oui,77,Projet B,0.28,2362,Produit Z,40,5,CDI,Corey Cannon,Avancé,2815,5982,46570,48889,21399,97064,65947,34296,47794,90215,55602,51691,3247,409461.12,113892,119215,3.43,19,502.49,0.18,2.21,Senior 1,Medium,False,934035.17,1.4,Avec Remise,1286715697.35
698,Butler,Steven,45,Ventes,North Evelynview,2016-03-22,2107,2490,Non,74,Projet A,0.06,4409,Produit Z,35,3,CDI,James Mills MD,Expert,8763,92332,71935,88156,99744,31579,37012,754,97688,38171,33909,27717,40142,619590.66,25284,36537,16.96,9,1129.4,0.27,5.0,Senior 2,High,True,1999443.69,5.45,Avec Remise,1286715697.35
699,Marquez,Amanda,64,Marketing,Danaside,2012-08-19,8253,4571,Oui,73,Projet D,0.13,1578,Produit Z,44,3,Freelance,Richard Jones,Expert,2137,61660,92062,84767,77665,35311,72412,93455,19205,22780,82098,23061,20506,595934.34,99036,105744,5.64,13,534.82,0.13,4.92,Retraité / Consultant,Medium,False,1136207.7,1.98,Avec Remise,1286715697.35
700,Jackson,Tina,61,Ventes,West Craigfurt,2020-05-28,2439,3461,Oui,89,Projet B,0.03,2792,Produit Z,30,5,CDD,John Cortez,Avancé,2005,13480,22707,8099,43809,10946,70314,42655,39901,48463,19801,52305,56675,416280.35,29268,34734,11.98,5,533.32,0.19,12.2,Retraité / Consultant,Medium,False,3250874.83,2.02,Avec Remise,1286715697.35
701,Fuller,Michelle,30,Ventes,Lindahaven,2018-04-04,9692,3379,Non,51,Projet D,0.08,4957,Produit W,43,5,CDI,Aaron Torres,Avancé,572,86937,79884,45171,88083,31163,36247,70069,6141,26018,6219,58411,13101,503648.48,116304,120255,4.19,7,149.52,0.04,4.29,Professionnel confirmé,Medium,False,1658719.88,0.48,Avec Remise,1292981428.48
702,Monroe,Joshua,49,Finance,Marychester,2016-12-04,2564,3738,Oui,98,Projet A,0.17,1710,Produit Y,38,3,Freelance,Chase Green,Avancé,2315,85619,42089,27694,74220,46878,18535,55496,71825,29277,88083,54177,73183,553673.08,30768,36821,15.04,9,1326.25,0.35,5.44,Senior 2,High,True,980244.94,5.27,Avec Remise,1285481295.4
703,Meza,David,56,Marketing,Rhodesburgh,2011-01-09,6081,3301,Non,86,Projet D,0.11,2924,Produit X,35,4,Freelance,Catherine Parrish,Standard,7937,83582,51881,85369,26243,5273,28842,52522,42487,71163,45609,64415,10538,505452.36,72972,84210,6.0,14,722.68,0.21,4.0,Pré-retraire,Medium,False,1237661.57,2.85,Avec Remise,1275523122.61
704,Freeman,Mariah,28,Finance,Adamburgh,2014-03-15,2457,1674,Oui,89,Projet B,0.11,1203,Produit X,44,4,CDD,Sarah Franco,Avancé,5289,50096,27248,12841,7071,98458,16314,48115,7009,99008,3098,17662,52317,390920.93,29484,36447,10.73,11,1050.05,0.39,2.55,Jeune professionnel,High,True,2596191.01,2.54,Avec Remise,1275523122.61
705,Moore,Danielle,64,Finance,Riceland,2015-11-03,4713,3937,Non,54,Projet B,0.13,4267,Produit Z,43,4,Freelance,Shane Salazar,Expert,948,43073,22157,43267,75006,80110,99755,29037,17296,43568,39782,40969,71547,526843.29,56556,61441,8.57,10,463.04,0.13,6.4,Retraité / Consultant,Medium,False,2408683.33,1.55,Avec Remise,1286715697.35
706,Morris,James,22,Marketing,Gouldview,2012-11-28,11932,4833,Non,54,Projet B,0.04,1827,Produit W,36,2,CDI,Tiffany Cooke,Avancé,2387,44669,96468,24698,88379,76179,60535,32439,77245,16128,64479,69245,88200,709117.44,143184,150404,4.71,13,330.98,0.07,1.69,Jeune employé,Medium,False,2374369.72,1.78,Avec Remise,1292981428.48
707,King,Diana,51,RH,East Dylantown,2023-03-12,2658,1037,Oui,72,Projet D,0.24,2972,Produit Y,41,1,Freelance,Gary Moore,Standard,3848,15974,52260,52253,42096,9262,29299,18128,6005,40902,11724,45641,36208,273411.52,31896,36781,7.43,2,107.04,0.06,25.5,Expert,Medium,False,870400.3,0.19,Avec Remise,1285481295.4
708,Hodge,Emily,49,Marketing,East Matthew,2006-04-23,6344,4515,Non,91,Projet B,0.12,1372,Produit Z,32,1,CDI,Rebekah Valentine,Expert,59,79669,6446,88024,12617,4660,70333,79189,7101,75462,73970,65418,55173,543894.56,76128,80702,6.74,19,1165.27,0.31,2.58,Senior 2,High,True,1038666.5,5.4,Avec Remise,1286715697.35
709,Mcfarland,Marcus,40,Finance,West Christina,2022-08-28,2310,1928,Oui,54,Projet D,0.25,3907,Produit X,37,3,CDI,Amanda Smith,Expert,4966,18382,37184,61387,25251,37208,3408,33548,23988,83963,52178,18362,78916,355331.25,27720,34614,10.27,3,166.3,0.07,13.33,Senior 1,Medium,False,355331.25,0.44,Avec Remise,1275523122.61
710,Clements,Jose,22,Ventes,Reedburgh,2025-09-24,2860,1525,Oui,94,Projet A,0.01,1818,Produit X,34,5,CDD,Shirley Davis,Avancé,6539,68213,90329,75826,71500,12202,24338,10654,59907,97251,71169,45307,2520,622923.84,34320,42384,14.7,0,0.0,0.0,inf,Jeune employé,Low,False,1215746.28,0.0,Avec Remise,1275523122.61
711,Clark,Melissa,60,RH,Mercadotown,2023-05-05,5522,2974,Non,52,Projet C,0.21,4817,Produit W,32,2,Freelance,Paul Smith,Expert,7177,29258,34829,55566,87162,13583,72771,86527,73213,24880,70846,54335,89896,547364.14,66264,76415,7.16,2,74.5,0.02,30.0,Retraité / Consultant,Medium,False,3124661.7,0.35,Avec Remise,1292981428.48
712,Miller,Christina,35,Marketing,North Timothy,2009-04-23,3316,2037,Non,56,Projet C,0.07,4123,Produit X,35,2,CDD,Erin Kelley,Avancé,9948,25626,41795,40789,60925,53568,66858,87496,38701,65695,67050,71212,27003,601447.74,39792,51777,11.62,16,1040.8,0.25,2.19,Expérimenté,High,True,2639519.56,4.88,Avec Remise,1275523122.61
713,Meyer,Michael,50,Marketing,Timothyside,2013-02-27,10997,4819,Non,70,Projet C,0.27,4176,Produit W,41,1,Freelance,Rick Taylor,Standard,6190,22159,47142,92540,34288,7729,55031,21797,69003,70060,67083,82120,68384,465255.28,131964,142973,3.25,12,273.35,0.09,4.17,Expert,Medium,False,1908947.8,0.85,Avec Remise,1292981428.48
714,Gentry,Dustin,34,Marketing,Lake Josephchester,2013-04-18,9434,930,Oui,56,Projet B,0.26,3550,Produit X,37,1,CDD,Carolyn Martin,Expert,783,39282,28286,11110,33520,70273,25828,20574,28941,88833,26823,68184,21865,343004.06,113208,114921,2.98,12,200.57,0.09,2.83,Professionnel confirmé,Medium,False,2081234.5,0.51,Avec Remise,1275523122.61
715,Rose,Matthew,48,Production,Matthewborough,2009-03-04,6514,3841,Oui,88,Projet C,0.09,1049,Produit Y,43,5,CDD,Barbara Watson,Avancé,1474,58763,37478,26926,90102,11579,29462,66348,39457,98081,42201,31524,72460,549986.71,78168,83483,6.59,16,927.59,0.25,3.0,Senior 2,High,True,935387.49,3.24,Avec Remise,1285481295.4
716,Ramos,Alex,24,Ventes,Christopherstad,2010-02-26,5641,4062,Non,78,Projet D,0.22,3037,Produit W,30,2,Freelance,Colleen Jimenez,Expert,477,43523,60489,1966,77678,62064,58668,89099,50627,38002,88295,81908,47725,546034.32,67692,72231,7.56,15,884.47,0.24,1.6,Jeune employé,Medium,False,1593222.27,4.39,Avec Remise,1292981428.48
717,Cruz,Brandon,26,Production,Lopezhaven,2019-01-28,6227,1515,Non,63,Projet C,0.03,2966,Produit Z,30,1,Freelance,Mark Wyatt,Expert,4600,77343,84561,34798,43401,93166,18233,36436,32163,31317,79827,79720,80436,670658.97,74724,80839,8.3,6,313.6,0.07,4.33,Jeune professionnel,Medium,False,1668418.21,1.91,Avec Remise,1286715697.35
718,Thompson,Linda,61,Production,East Pennyshire,2024-12-01,3188,921,Non,92,Projet C,0.01,4844,Produit W,34,1,CDI,Sean Campbell,Expert,9423,47347,12837,61458,42932,81143,17013,26593,65474,84355,6607,50668,29508,520675.65,38256,48600,10.71,1,98.56,0.03,61.0,Retraité / Consultant,Medium,False,2148182.86,0.41,Avec Remise,1292981428.48
719,Stevens,Emily,25,Production,Cruzchester,2011-05-27,11005,4234,Oui,89,Projet D,0.05,2190,Produit Z,30,5,CDD,Marvin Moore,Standard,7087,13452,35753,50054,70920,6597,28573,55211,76971,23423,7074,39824,89727,472700.05,132060,143381,3.3,14,410.78,0.13,1.79,Jeune professionnel,Medium,False,3244686.22,1.77,Avec Remise,1286715697.35
720,Hayes,Linda,25,RH,Lake Jonathanmouth,2016-08-20,10141,4352,Oui,92,Projet A,0.01,1905,Produit W,32,2,CDD,Bailey Campbell,Standard,529,66812,57713,65566,72788,90528,54373,37402,33961,52628,66171,24633,79212,694769.13,121692,126573,5.49,9,454.5,0.1,2.78,Jeune professionnel,Medium,False,1737556.92,2.69,Avec Remise,1292981428.48
721,Sanders,Nathan,28,IT,Munoztown,2013-03-29,9669,4774,Non,77,Projet D,0.08,4156,Produit Y,44,4,Freelance,Sean Hunt,Avancé,8204,42509,24798,89548,71655,84655,9789,15359,33804,16080,58362,96539,48273,544061.32,116028,129006,4.22,12,389.68,0.1,2.33,Jeune professionnel,Medium,False,2667437.01,1.31,Avec Remise,1285481295.4
722,Mason,Samantha,43,Ventes,Shellyton,2006-08-16,3835,3839,Non,99,Projet D,0.1,1077,Produit X,38,3,Freelance,Tiffany Thomas DDS,Standard,4551,24419,59854,97192,85173,4439,92561,89655,38837,37696,2672,92240,69298,624632.4,46020,54410,11.48,19,2159.41,0.5,2.26,Senior 1,High,True,1651066.0,9.68,Avec Remise,1275523122.61
723,Henderson,Philip,48,Production,Christopherport,2015-09-25,3484,2859,Non,79,Projet B,0.07,4735,Produit W,32,2,CDD,Barbara Gordon,Avancé,6243,5248,38650,14433,25386,46138,17134,38179,79868,30987,23150,13799,10131,319085.79,41808,50910,6.27,10,495.14,0.23,4.8,Senior 2,Medium,False,2630976.55,1.35,Avec Remise,1292981428.48
724,Watson,Sharon,62,Production,Smithchester,2017-12-28,5941,1545,Oui,85,Projet A,0.22,4476,Produit X,40,4,CDD,Alexander Salazar,Expert,4260,52392,63369,59588,47039,23926,30610,47976,24022,89665,24019,95773,43218,469245.66,71292,77097,6.09,8,413.88,0.13,7.75,Retraité / Consultant,Medium,False,4115657.04,1.32,Avec Remise,1275523122.61
725,Chavez,Cynthia,31,RH,Westtown,2014-12-16,3720,3761,Non,54,Projet A,0.03,4669,Produit Z,30,5,Freelance,Richard Butler,Avancé,5710,42648,64909,59024,92075,13668,29663,6753,14355,12536,92792,33426,44541,491198.3,44640,54111,9.08,11,539.21,0.16,2.82,Professionnel confirmé,Medium,False,1334356.91,2.41,Avec Remise,1286715697.35
726,Howard,Erik,25,IT,Port Tammy,2019-11-03,11189,3838,Non,71,Projet B,0.0,1056,Produit W,44,1,CDI,Gabriella Nash,Avancé,881,42251,27313,91761,31971,57984,81241,51048,86285,49203,40168,4799,24312,588336.0,134268,138987,4.23,6,180.33,0.04,4.17,Jeune professionnel,Medium,False,1152624.0,0.66,Sans Remise,1292981428.48
727,Doyle,Jennifer,53,RH,South Mark,2013-11-08,2672,4170,Non,68,Projet B,0.23,2481,Produit X,42,1,Freelance,Shannon Davies,Expert,3776,75289,97115,80203,13612,28724,35878,55438,79908,46342,65499,97302,69298,573348.16,32064,40010,14.33,12,1169.34,0.3,4.42,Expert,High,True,3210221.65,4.35,Avec Remise,1275523122.61
728,Farrell,Natalie,49,Production,Watkinsbury,2019-08-18,6672,843,Non,68,Projet A,0.0,3012,Produit W,37,3,CDI,Donna Thomas,Expert,9720,85068,47384,63236,15869,3047,94718,49572,53597,71154,10817,6651,40974,542087.0,80064,90627,5.98,6,244.05,0.07,8.17,Senior 2,Medium,False,2722609.64,0.98,Sans Remise,1292981428.48
729,Butler,Anthony,30,IT,Grahamview,2022-05-27,9176,3033,Oui,77,Projet A,0.06,1334,Produit Z,42,2,Freelance,Lindsey Dorsey,Standard,3156,31540,28726,36482,5388,33051,1503,23811,69416,43566,43345,89143,1547,383066.92,110112,116301,3.29,3,76.09,0.03,10.0,Professionnel confirmé,Medium,False,1467214.28,0.19,Avec Remise,1286715697.35
730,Ruiz,Luke,54,Production,Jessicabury,2008-09-30,10925,1517,Non,76,Projet A,0.25,2532,Produit Z,32,3,CDI,Bryan Coleman,Avancé,6617,45261,90319,57979,12771,88546,93030,58993,20638,21219,65108,10887,45171,457441.5,131100,139234,3.29,17,424.48,0.14,3.18,Expert,Medium,False,771847.52,1.65,Avec Remise,1286715697.35
731,Mann,Jennifer,64,RH,Mcguirefurt,2011-10-25,6481,2411,Non,66,Projet A,0.12,2075,Produit W,38,3,Freelance,Sara Davila,Standard,1681,83509,72597,36702,3694,70091,70401,53278,50320,11638,8845,65137,38755,497170.96,77772,81864,6.07,14,561.16,0.16,4.57,Retraité / Consultant,Medium,False,3154664.1,2.0,Avec Remise,1292981428.48
732,Moore,Anthony,27,Production,South Kimberly,2022-08-11,7820,2707,Non,75,Projet A,0.18,2299,Produit Y,38,3,CDD,Christopher Odom,Avancé,6042,39855,87988,77922,98394,23529,24916,88314,46459,50686,96308,96300,50419,640493.8,93840,102589,6.24,3,140.47,0.03,9.0,Jeune professionnel,Medium,False,2313618.78,0.65,Avec Remise,1285481295.4
733,Hardy,Diane,28,Ventes,Port Jennymouth,2025-08-21,5338,1551,Non,58,Projet B,0.0,2601,Produit Y,33,1,CDI,Stephanie West,Standard,1258,7627,63618,72398,54349,17443,32398,46624,69387,93810,33771,91967,42923,626315.0,64056,66865,9.37,0,0.0,0.0,inf,Jeune professionnel,Low,False,1818963.21,0.0,Sans Remise,1285481295.4
734,Turner,John,36,Ventes,Davidland,2018-03-24,5154,4100,Non,89,Projet D,0.18,4726,Produit Y,33,1,Freelance,Yesenia Fuller,Expert,6363,73875,86911,64302,26911,4796,78663,50120,60018,49862,46417,62577,37238,526185.8,61848,72311,7.28,7,453.34,0.13,5.14,Expérimenté,Medium,False,1897824.66,1.97,Avec Remise,1285481295.4
735,Mitchell,Patricia,32,Ventes,Port Joseph,2022-09-16,10046,2987,Oui,61,Projet B,0.21,2739,Produit Y,31,5,CDI,Lori Hughes,Standard,9587,29760,70003,72546,4302,17456,53691,82112,52674,79065,64075,9434,80568,486391.94,120552,133126,3.65,3,66.86,0.02,10.67,Professionnel confirmé,Medium,False,1030025.34,0.29,Avec Remise,1285481295.4
736,Johnson,Emily,48,Marketing,Christopherburgh,2023-05-17,10668,1506,Oui,81,Projet C,0.27,2492,Produit X,35,2,Freelance,Shannon Barnes,Expert,9336,28792,51864,97752,3845,7460,72880,87130,70256,34144,34277,42701,8002,393545.19,128016,138858,2.83,2,45.91,0.02,24.0,Senior 2,Low,False,1526018.21,0.14,Avec Remise,1275523122.61
737,Perry,Matthew,25,Marketing,South Timothy,2023-12-30,2443,2166,Oui,71,Projet B,0.24,1165,Produit Y,43,2,CDD,Debbie Murray,Standard,4717,1175,51261,84702,33186,1168,17518,23620,76816,19918,45832,11723,17013,291788.32,29316,36199,8.06,2,114.46,0.06,12.5,Jeune professionnel,Medium,False,2778948.45,0.21,Avec Remise,1285481295.4
738,Mitchell,Tyler,22,Production,Williamsonland,2022-12-02,7793,679,Non,95,Projet A,0.24,3260,Produit Y,31,3,Freelance,Anna Greene,Standard,433,55876,55079,69422,36174,75822,48418,95500,36917,92177,90338,84568,90139,631126.8,93516,94628,6.67,3,190.08,0.04,7.33,Jeune employé,Medium,False,631126.8,1.06,Avec Remise,1285481295.4
739,Austin,Melanie,22,Marketing,East Charles,2016-01-01,10036,2928,Non,85,Projet B,0.12,4689,Produit Y,34,4,CDD,Shelby Burton,Expert,9465,7230,86258,87602,64648,45996,13656,59063,94198,35810,44718,28871,55496,548720.48,120432,132825,4.13,9,316.03,0.08,2.44,Jeune employé,Medium,False,3996455.6,1.39,Avec Remise,1285481295.4
740,Wilson,Andrew,62,Finance,Kington,2009-07-15,4716,847,Oui,65,Projet C,0.03,3637,Produit X,42,2,CDD,Walter Martinez,Expert,6315,86248,85420,13407,14360,93384,84866,54023,6957,46893,90087,87909,32193,674874.59,56592,63754,10.59,16,1100.9,0.24,3.88,Retraité / Consultant,High,True,674874.59,4.82,Avec Remise,1275523122.61
741,House,Nancy,45,Finance,Port Lindahaven,2017-07-14,6394,4640,Oui,74,Projet D,0.01,4861,Produit Y,41,5,Freelance,Leroy Sullivan,Avancé,3345,21608,81096,12806,17277,69573,58319,46528,47239,28708,19590,23587,10641,432602.28,76728,84713,5.11,8,302.32,0.1,5.62,Senior 2,Medium,False,2306433.4,0.87,Avec Remise,1285481295.4
742,Mccormick,Linda,33,Production,New Candicebury,2024-08-15,6680,4673,Oui,99,Projet B,0.26,1113,Produit W,35,4,Freelance,Michelle Hartman,Standard,4332,53985,56982,93484,36823,63243,98382,83913,64274,33896,70178,93953,15622,565903.9,80160,89165,6.35,1,62.83,0.02,33.0,Professionnel confirmé,Medium,False,2296883.35,0.28,Avec Remise,1292981428.48
743,James,Kim,62,Ventes,Dorothyburgh,2015-01-09,5617,2743,Non,52,Projet B,0.04,2203,Produit X,40,3,Freelance,Ashley Griffith,Avancé,8121,70117,94052,68209,39509,30190,8794,92867,97887,3671,83617,13448,19106,596608.32,67404,78268,7.62,10,396.38,0.1,6.2,Retraité / Consultant,Medium,False,1475617.3,1.61,Avec Remise,1275523122.61
744,Obrien,Amber,45,IT,South Stevenside,2007-02-19,11002,1621,Oui,94,Projet D,0.17,4004,Produit Z,38,1,CDI,Jodi Hudson,Standard,4180,10704,13629,46638,48887,98038,50620,97293,36189,24263,96713,18293,29659,473868.58,132024,137825,3.44,18,581.74,0.18,2.5,Senior 2,Medium,False,2056974.94,1.98,Avec Remise,1286715697.35
745,Nash,Jeffrey,51,IT,Zavalachester,2025-09-29,3291,927,Non,91,Projet D,0.16,2431,Produit W,32,5,CDI,Stephanie Knight,Avancé,5418,5871,36311,36018,85615,7271,88478,16120,77818,14250,53615,57354,97839,484310.4,39492,45837,10.57,0,0.0,0.0,inf,Expert,Low,False,2424608.8,0.0,Avec Remise,1292981428.48
746,Wu,William,53,RH,West Stacyville,2011-05-11,11875,4939,Non,84,Projet B,0.02,1492,Produit W,37,4,CDD,Robert Williams,Expert,5623,87323,46196,53692,73407,37810,38772,94922,73461,54388,61408,16428,42715,666911.56,142500,153062,4.36,14,512.4,0.11,3.79,Expert,Medium,False,1608769.53,2.52,Avec Remise,1292981428.48
747,Allen,Emily,53,IT,Lake Megan,2022-09-01,4488,4917,Non,96,Projet D,0.23,3767,Produit W,38,3,CDI,Richard Davis,Expert,3952,40546,82526,22799,74019,85217,48329,7070,44094,52589,23235,59207,74106,472577.49,53856,62725,7.53,3,216.98,0.07,17.67,Expert,Medium,False,2744485.89,0.74,Avec Remise,1292981428.48
748,Lewis,Rebecca,51,IT,Joemouth,2020-02-16,3051,3119,Oui,53,Projet D,0.18,1145,Produit Z,30,5,Freelance,Morgan Brown,Avancé,552,83985,9534,22508,47540,75881,19973,32349,40004,52147,53991,5653,83539,432225.28,36612,40283,10.73,5,284.34,0.1,10.2,Expert,Medium,False,2248666.14,1.12,Avec Remise,1286715697.35
749,Hill,Eric,34,Marketing,New Jamesfurt,2009-07-21,5026,4867,Non,84,Projet D,0.01,1616,Produit X,30,1,CDD,Jason Alvarez,Standard,1984,19670,70249,1183,64234,47840,7142,46285,81739,91205,52364,59502,3352,539317.35,60312,67163,8.03,16,1079.23,0.29,2.12,Professionnel confirmé,High,True,2452526.6,5.29,Avec Remise,1275523122.61
750,Ferguson,Benjamin,39,RH,South Zachary,2009-01-15,2891,3165,Non,93,Projet C,0.14,2685,Produit Y,40,4,CDI,Timothy Haynes,Avancé,2682,3675,87640,49141,97847,78713,70756,9040,72334,17274,97218,49951,2653,547168.12,34692,40539,13.5,16,2008.4,0.53,2.44,Expérimenté,High,True,1416740.91,7.49,Avec Remise,1285481295.4
751,Willis,Anthony,27,RH,North James,2019-03-28,3801,3004,Oui,99,Projet D,0.08,4402,Produit Y,32,1,CDD,David Allen,Standard,8305,57326,21949,49152,43461,57659,46047,28516,56901,55198,26617,50816,8689,462144.52,45612,56921,8.12,6,482.27,0.15,4.5,Jeune professionnel,Medium,False,1170316.36,1.9,Avec Remise,1285481295.4
752,Morris,Brad,54,Ventes,Jacobsmouth,2011-04-05,4842,2174,Oui,65,Projet A,0.25,2222,Produit Z,32,3,CDI,Barbara Frederick,Standard,151,235,94158,28037,90093,7382,48581,26839,18776,90059,98933,31516,68600,452406.75,58104,60429,7.49,14,681.28,0.22,3.86,Expert,Medium,False,1967989.9,2.63,Avec Remise,1286715697.35
753,Choi,David,62,Finance,Joelport,2017-06-02,9011,1415,Oui,77,Projet A,0.17,2691,Produit Z,35,3,CDI,Jacob Jones,Expert,30,59554,81237,50831,14746,49496,84219,82051,82693,59383,4324,11316,15957,494519.81,108132,109577,4.51,8,278.0,0.08,7.75,Retraité / Consultant,Medium,False,1081825.85,1.07,Avec Remise,1286715697.35
754,Martinez,Donna,44,Finance,Mitchellfort,2020-11-26,10344,3536,Non,78,Projet A,0.23,1267,Produit Y,33,4,Freelance,Jeremy Valenzuela,Expert,2623,38161,87048,86941,92911,22388,62535,34848,89220,46836,35153,56247,86710,569028.46,124128,130287,4.37,5,170.33,0.04,8.8,Senior 1,Medium,False,1493858.99,0.8,Avec Remise,1285481295.4
755,Austin,Rebecca,62,Marketing,West Christy,2015-09-26,2274,2178,Oui,56,Projet B,0.22,1769,Produit Z,32,1,CDI,Vanessa Bryant,Expert,6483,32459,39293,18251,68594,63280,36956,6741,61430,77492,58770,33386,88739,456604.98,27288,35949,12.7,10,711.28,0.23,6.2,Retraité / Consultant,Medium,False,2352398.78,2.77,Avec Remise,1286715697.35
756,Arellano,Zachary,35,Marketing,Lake Ross,2014-09-24,5181,1201,Oui,67,Projet C,0.12,4042,Produit X,43,4,CDD,Jordan Villarreal,Standard,4537,43315,8861,10698,74728,35716,24380,53102,35604,86317,9823,47911,29537,404792.96,62172,67910,5.96,11,439.31,0.16,3.18,Expérimenté,Medium,False,2168753.69,1.13,Avec Remise,1275523122.61
757,Rasmussen,Natalie,46,Production,Nicholsonville,2009-07-05,2211,920,Non,86,Projet C,0.27,4576,Produit X,34,2,CDD,Melissa Williams,Standard,8648,36868,21759,38724,17685,40532,59255,32686,46291,39629,16507,94826,33223,348929.05,26532,36100,9.67,16,1329.99,0.55,2.88,Senior 2,High,True,1815465.61,3.72,Avec Remise,1275523122.61
